H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
0.445454545,0.409090909,0.12,0.461818182,435,0.000601582,0.006015823,2.57E-05,0.033872727
0.445454545,0.15,0.461818182,0.974545455,419,0.006943975,0.069439748,0.004840937,0.047798182
0.963636364,0.15,0.803636364,1.658181818,432,0.005011025,0.050110249,0.004386871,0.083176364
0.445454545,3,0.290909091,1.316363636,433,0.005650175,0.056501745,0.040378779,0.602181818
1.827272727,3,2,0.803636364,442,0.000611054,0.006110535,0.003246838,4.14
0.445454545,2.481818182,0.803636364,2,430,0.000693105,0.00693105,0.001388604,1.376190745
1.654545455,2.222727273,1.316363636,0.632727273,413,0.006875068,0.068750682,0.200431966,2.018882975
0.790909091,3,1.829090909,2,400,0.005280572,0.052805721,0.221752951,3.786218182
0.618181818,0.668181818,0.290909091,0.803636364,405,0.000627369,0.00627369,0.000110879,0.134122314
1.309090909,0.668181818,0.290909091,0.974545455,465,0.005773113,0.057731125,0.009389077,0.134122314
1.136363636,0.927272727,0.974545455,1.316363636,437,0.000621997,0.006219972,0.000506684,0.623531901
1.481818182,1.704545455,0.12,0.803636364,410,0.000654188,0.006541879,0.000126866,0.141136364
0.618181818,1.704545455,0.461818182,0.12,500,0.006507364,0.065073637,0.048310406,0.543161157
1.136363636,2.740909091,1.658181818,1.658181818,442,0.000614353,0.006143527,0.002486069,3.135998677
1.309090909,0.15,0.461818182,0.290909091,484,0.005981058,0.059810578,0.003591445,0.047798182
0.445454545,0.15,2,1.316363636,445,0.000604437,0.006044371,0.000158845,0.207
0.445454545,2.222727273,0.974545455,1.145454545,478,0.006432398,0.064323976,0.129892762,1.494642646
1.827272727,0.15,0.12,0.632727273,495,0.006594301,0.06594301,0.001134386,0.01242
0.963636364,1.704545455,1.145454545,0.290909091,347,0.000692426,0.006924263,0.001356702,1.347210744
1.827272727,3,0.461818182,1.658181818,470,0.006321071,0.063210713,0.080227742,0.955963637
1.654545455,1.704545455,0.632727273,0.461818182,442,0.005427416,0.054274159,0.046042856,0.744173554
2,1.963636364,1.316363636,0.803636364,434,0.005540258,0.055402576,0.114986742,1.783553058
1.136363636,0.15,0.974545455,2,380,0.006423383,0.064233826,0.008741216,0.100865454
0.790909091,2.222727273,0.632727273,1.316363636,418,0.000625714,0.006257144,0.000798006,0.970402315
1.481818182,0.668181818,2,0.461818182,422,0.005063369,0.050633692,0.049654058,0.922090909
0.445454545,2.222727273,0.12,1.658181818,436,0.000626554,0.006265543,0.000151752,0.184041818
